■ 역대 박스오피스 (공식통계 기준),,,,,,,,,,,
- 조회일: 2021-04-19,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,
▶ 검색조건 [ 영화구분 : 일반영화???국적 : 전체 ],,,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,,스크린수,,대표국적,국적,배급사,
,,,,(S:서울 기준),,(S:서울 기준),,,,,
73,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795",,"6,129,681",,706,미국,"미국,영국",이십세기폭스코리아(주),액션
74,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607",,"6,126,488",,"1,202",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션
75,투사부일체,2006-01-19,0,,"6,105,431",S,93,한국,한국,CJ ENM,액션
76,연평해전,2015-06-24,"45,563,228,330",,"6,043,784",,"1,013",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마
77,반지의 제왕 : 왕의 귀환,2003-12-17,0,,"5,960,000",S,105,미국,미국,"워너브러더스 코리아(주),CJ ENM",판타지
78,인셉션,2010-07-21,"44,106,546,302",,"5,926,948",,528,미국,미국,"(주)디스테이션,워너브러더스 코리아(주)",액션
79,레미제라블,2012-12-19,"43,044,999,000",,"5,911,890",,696,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마
80,쉬리,1999-02-13,0,,"5,820,000",,0,한국,한국,,액션
81,캡틴 마블,2019-03-06,"51,491,272,223",,"5,801,069",,"2,100",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션
82,미션 임파서블 3,2006-05-03,0,,"5,740,789",S,134,미국,미국,UIP코리아,액션
83,쥬라기 월드: 폴른 킹덤,2018-06-06,"49,770,711,037",,"5,661,128",,"1,972",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),SF
84,청년경찰,2017-08-09,"44,381,150,516",,"5,653,270",,"1,102",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션
85,가문의 위기(가문의 영광2),2005-09-07,0,,"5,635,266",S,101,한국,한국,(주)쇼박스,액션
86,숨바꼭질,2013-08-14,"39,602,987,500",,"5,604,104",S,779,한국,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러
87,덕혜옹주,2016-08-03,"44,393,828,109",,"5,599,229",,964,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마
88,더 테러 라이브,2013-07-31,"39,866,712,881",,"5,583,596",,743,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션
89,쥬라기 월드,2015-06-11,"47,800,698,826",,"5,546,792",,"1,290",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),SF
90,감시자들,2013-07-03,"39,380,162,179",,"5,508,017",,949,한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
91,의형제,2010-02-04,"40,800,867,602",,"5,507,106",,572,한국,한국,(주)쇼박스,드라마
92,2012,2009-11-12,"39,415,166,660",,"5,462,953",,789,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션
93,앤트맨과 와스프,2018-07-04,"47,465,443,185",,"5,447,826",,"1,775",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션
94,닥터 스트레인지,2016-10-26,"47,482,530,396",,"5,446,379",,"1,503",미국,미국,월트디즈니컴퍼니코리아(주),액션
95,검은 사제들,2015-11-05,"42,407,832,092",,"5,442,553",,"1,088",한국,한국,씨제이이앤엠(주),스릴러
96,안시성,2018-09-19,"46,335,334,026",,"5,440,186",,"1,540",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
97,블랙 팬서,2018-02-14,"45,883,143,457",,"5,398,994",,"1,620",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션
98,완득이,2011-10-20,"38,530,503,500",,"5,310,510",,500,한국,한국,씨제이이앤엠(주),드라마
99,트랜스포머: 사라진 시대,2014-06-25,"44,012,272,845",,"5,295,801",,"1,602",미국,미국,씨제이이앤엠(주),액션
100,완벽한 타인,2018-10-31,"44,356,752,474",,"5,294,119",,"1,313",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,코미디
